Permission name,Type,ID
Calendars.Read,Application,798ee544-9d2d-430c-a058-570e29e34338
Calendars.ReadBasic.All,Application,8ba4a692-bc31-4128-9094-475872af8a53
Calendars.ReadWrite,Application,ef54d2bf-783f-4e0f-bca1-3210c0444d99
CallRecord-PstnCalls.Read.All,Application,a2611786-80b3-417e-adaa-707d4261a5f0
CallRecords.Read.All,Application,45bbb07e-7321-4fd7-a8f6-3ff27e6a81c8
Calls.AccessMedia.All,Application,a7a681dc-756e-4909-b988-f160edc6655f
Calls.Initiate.All,Application,284383ee-7f6e-4e40-a2a8-e85dcb029101
Calls.InitiateGroupCall.All,Application,4c277553-8a09-487b-8023-29ee378d8324
Calls.JoinGroupCall.All,Application,f6b49018-60ab-4f81-83bd-22caeabfed2d
Calls.JoinGroupCallAsGuest.All,Application,fd7ccf6b-3d28-418b-9701-cd10f5cd2fd4
Channel.Create,Application,f3a65bd4-b703-46df-8f7e-0174fea562aa
Channel.Delete.All,Application,6a118a39-1227-45d4-af0c-ea7b40d210bc
Channel.ReadBasic.All,Application,59a6b24b-4225-4393-8165-ebaec5f55d7a
ChannelMember.Read.All,Application,3b55498e-47ec-484f-8136-9013221c06a9
ChannelMember.ReadWrite.All,Application,35930dcf-aceb-4bd1-b99a-8ffed403c974
ChannelMessage.Read.All,Application,7b2449af-6ccd-4f4d-9f78-e550c193f0d1
ChannelMessage.UpdatePolicyViolation.All,Application,4d02b0cc-d90b-441f-8d82-4fb55c34d6bb
ChannelSettings.Read.All,Application,c97b873f-f59f-49aa-8a0e-52b32d762124
ChannelSettings.ReadWrite.All,Application,243cded2-bd16-4fd6-a953-ff8177894c3d
Chat.Create,Application,d9c48af6-9ad9-47ad-82c3-63757137b9af
Chat.ManageDeletion.All,Application,9c7abde0-eacd-4319-bf9e-35994b1a1717
Chat.Read.All,Application,6b7d71aa-70aa-4810-a8d9-5d9fb2830017
Chat.Read.WhereInstalled,Application,1c1b4c8e-3cc7-4c58-8470-9b92c9d5848b
Chat.ReadBasic.All,Application,b2e060da-3baf-4687-9611-f4ebc0f0cbde
Chat.ReadBasic.WhereInstalled,Application,818ba5bd-5b3e-4fe0-bbe6-aa4686669073
Chat.ReadWrite.All,Application,294ce7c9-31ba-490a-ad7d-97a7d075e4ed
Chat.ReadWrite.WhereInstalled,Application,ad73ce80-f3cd-40ce-b325-df12c33df713
Chat.UpdatePolicyViolation.All,Application,7e847308-e030-4183-9899-5235d7270f58
ChatMember.Read.All,Application,a3410be2-8e48-4f32-8454-c29a7465209d
ChatMember.Read.WhereInstalled,Application,93e7c9e4-54c5-4a41-b796-f2a5adaacda7
ChatMember.ReadWrite.All,Application,57257249-34ce-4810-a8a2-a03adf0c5693
ChatMember.ReadWrite.WhereInstalled,Application,e32c2cd9-0124-4e44-88fc-772cd98afbdb
ChatMessage.Read.All,Application,b9bb2381-47a4-46cd-aafb-00cb12f68504
CloudApp-Discovery.Read.All,Application,64a59178-dad3-4673-89db-84fdcd622fec
CloudPC.Read.All,Application,a9e09520-8ed4-4cde-838e-4fdea192c227
CloudPC.ReadWrite.All,Application,3b4349e1-8cf5-45a3-95b7-69d1751d3e6a
ConsentRequest.Read.All,Application,1260ad83-98fb-4785-abbb-d6cc1806fd41
ConsentRequest.ReadWrite.All,Application,9f1b81a7-0223-4428-bfa4-0bcb5535f27d
Contacts.Read,Application,089fe4d0-434a-44c5-8827-41ba8a0b17f5
Contacts.ReadWrite,Application,6918b873-d17a-4dc1-b314-35f528134491
CrossTenantInformation.ReadBasic.All,Application,cac88765-0581-4025-9725-5ebc13f729ee
CrossTenantUserProfileSharing.Read.All,Application,8b919d44-6192-4f3d-8a3b-f86f8069ae3c
CrossTenantUserProfileSharing.ReadWrite.All,Application,306785c5-c09b-4ba0-a4ee-023f3da165cb
CustomAuthenticationExtension.Read.All,Application,88bb2658-5d9e-454f-aacd-a3933e079526
CustomAuthenticationExtension.ReadWrite.All,Application,c2667967-7050-4e7e-b059-4cbbb3811d03
CustomAuthenticationExtension.Receive.Payload,Application,214e810f-fda8-4fd7-a475-29461495eb00
CustomSecAttributeAssignment.Read.All,Application,3b37c5a4-1226-493d-bec3-5d6c6b866f3f
CustomSecAttributeAssignment.ReadWrite.All,Application,de89b5e4-5b8f-48eb-8925-29c2b33bd8bd
CustomSecAttributeDefinition.Read.All,Application,b185aa14-d8d2-42c1-a685-0f5596613624
CustomSecAttributeDefinition.ReadWrite.All,Application,12338004-21f4-4896-bf5e-b75dfaf1016d
Device.Read.All,Application,7438b122-aefc-4978-80ed-43db9fcc7715
Device.ReadWrite.All,Application,1138cb37-bd11-4084-a2b7-9f71582aeddb
DeviceLocalCredential.Read.All,Application,884b599e-4d48-43a5-ba94-15c414d00588
DeviceLocalCredential.ReadBasic.All,Application,db51be59-e728-414b-b800-e0f010df1a79
DeviceManagementApps.Read.All,Application,7a6ee1e7-141e-4cec-ae74-d9db155731ff
DeviceManagementApps.ReadWrite.All,Application,78145de6-330d-4800-a6ce-494ff2d33d07
DeviceManagementConfiguration.Read.All,Application,dc377aa6-52d8-4e23-b271-2a7ae04cedf3
DeviceManagementConfiguration.ReadWrite.All,Application,9241abd9-d0e6-425a-bd4f-47ba86e767a4
DeviceManagementManagedDevices.PrivilegedOperations.All,Application,5b07b0dd-2377-4e44-a38d-703f09a0dc3c
DeviceManagementManagedDevices.Read.All,Application,2f51be20-0bb4-4fed-bf7b-db946066c75e
DeviceManagementManagedDevices.ReadWrite.All,Application,243333ab-4d21-40cb-a475-36241daa0842
DeviceManagementRBAC.Read.All,Application,58ca0d9a-1575-47e1-a3cb-007ef2e4583b
DeviceManagementRBAC.ReadWrite.All,Application,e330c4f0-4170-414e-a55a-2f022ec2b57b
DeviceManagementServiceConfig.Read.All,Application,06a5fe6d-c49d-46a7-b082-56b1b14103c7
DeviceManagementServiceConfig.ReadWrite.All,Application,5ac13192-7ace-4fcf-b828-1a26f28068ee
Directory.Read.All,Application,7ab1d382-f21e-4acd-a863-ba3e13f7da61
Directory.ReadWrite.All,Application,19dbc75e-c2e2-444c-a770-ec69d8559fc7
Directory.Write.Restricted,Application,f20584af-9290-4153-9280-ff8bb2c0ea7f
DirectoryRecommendations.Read.All,Application,ae73097b-cb2a-4447-b064-5d80f6093921
DirectoryRecommendations.ReadWrite.All,Application,0e9eea12-4f01-45f6-9b8d-3ea4c8144158
Domain.Read.All,Application,dbb9058a-0e50-45d7-ae91-66909b5d4664
Domain.ReadWrite.All,Application,7e05723c-0bb0-42da-be95-ae9f08a6e53c
eDiscovery.Read.All,Application,50180013-6191-4d1e-a373-e590ff4e66af
eDiscovery.ReadWrite.All,Application,b2620db1-3bf7-4c5b-9cb9-576d29eac736
EduAdministration.Read.All,Application,7c9db06a-ec2d-4e7b-a592-5a1e30992566
EduAdministration.ReadWrite.All,Application,9bc431c3-b8bc-4a8d-a219-40f10f92eff6
EduAssignments.Read.All,Application,4c37e1b6-35a1-43bf-926a-6f30f2cdf585
EduAssignments.ReadBasic.All,Application,6e0a958b-b7fc-4348-b7c4-a6ab9fd3dd0e
EduAssignments.ReadWrite.All,Application,0d22204b-6cad-4dd0-8362-3e3f2ae699d9
EduAssignments.ReadWriteBasic.All,Application,f431cc63-a2de-48c4-8054-a34bc093af84
EduRoster.Read.All,Application,e0ac9e1b-cb65-4fc5-87c5-1a8bc181f648
EduRoster.ReadBasic.All,Application,0d412a8c-a06c-439f-b3ec-8abcf54d2f96
EduRoster.ReadWrite.All,Application,d1808e82-ce13-47af-ae0d-f9b254e6d58a
EntitlementManagement.Read.All,Application,c74fd47d-ed3c-45c3-9a9e-b8676de685d2
EntitlementManagement.ReadWrite.All,Application,9acd699f-1e81-4958-b001-93b1d2506e19
EventListener.Read.All,Application,b7f6385c-6ce6-4639-a480-e23c42ed9784
EventListener.ReadWrite.All,Application,0edf5e9e-4ce8-468a-8432-d08631d18c43
ExternalConnection.Read.All,Application,1914711b-a1cb-4793-b019-c2ce0ed21b8c
ExternalConnection.ReadWrite.All,Application,34c37bc0-2b40-4d5e-85e1-2365cd256d79
ExternalConnection.ReadWrite.OwnedBy,Application,f431331c-49a6-499f-be1c-62af19c34a9d
ExternalItem.Read.All,Application,7a7cffad-37d2-4f48-afa4-c6ab129adcc2
ExternalItem.ReadWrite.All,Application,38c3d6ee-69ee-422f-b954-e17819665354
ExternalItem.ReadWrite.OwnedBy,Application,8116ae0f-55c2-452d-9944-d18420f5b2c8
Files.Read.All,Application,01d4889c-1287-42c6-ac1f-5d1e02578ef6
Files.ReadWrite.All,Application,75359482-378d-4052-8f01-80520e7db3cd
Group.Create,Application,bf7b1a76-6e77-406b-b258-bf5c7720e98f
Group.Read.All,Application,5b567255-7703-4780-807c-7be8301ae99b
Group.ReadWrite.All,Application,62a82d76-70ea-41e2-9197-370581804d09
GroupMember.Read.All,Application,98830695-27a2-44f7-8c18-0c3ebc9698f6
GroupMember.ReadWrite.All,Application,dbaae8cf-10b5-4b86-a4a1-f871c94c6695
IdentityProvider.Read.All,Application,e321f0bb-e7f7-481e-bb28-e3b0b32d4bd0
IdentityProvider.ReadWrite.All,Application,90db2b9a-d928-4d33-a4dd-8442ae3d41e4
IdentityRiskEvent.Read.All,Application,6e472fd1-ad78-48da-a0f0-97ab2c6b769e
IdentityRiskEvent.ReadWrite.All,Application,db06fb33-1953-4b7b-a2ac-f1e2c854f7ae
IdentityRiskyServicePrincipal.Read.All,Application,607c7344-0eed-41e5-823a-9695ebe1b7b0
IdentityRiskyServicePrincipal.ReadWrite.All,Application,cb8d6980-6bcb-4507-afec-ed6de3a2d798
IdentityRiskyUser.Read.All,Application,dc5007c0-2d7d-4c42-879c-2dab87571379
IdentityRiskyUser.ReadWrite.All,Application,656f6061-f9fe-4807-9708-6a2e0934df76
IdentityUserFlow.Read.All,Application,1b0c317f-dd31-4305-9932-259a8b6e8099
IdentityUserFlow.ReadWrite.All,Application,65319a09-a2be-469d-8782-f6b07debf789
IndustryData.ReadBasic.All,Application,4f5ac95f-62fd-472c-b60f-125d24ca0bc5
IndustryData-DataConnector.Read.All,Application,7ab52c2f-a2ee-4d98-9ebc-725e3934aae2
IndustryData-DataConnector.ReadWrite.All,Application,eda0971c-482e-4345-b28f-69c309cb8a34
IndustryData-DataConnector.Upload,Application,9334c44b-a7c6-4350-8036-6bf8e02b4c1f
IndustryData-InboundFlow.Read.All,Application,305f6ba2-049a-4b1b-88bb-fe7e08758a00
IndustryData-InboundFlow.ReadWrite.All,Application,e688c61f-d4c6-4d64-a197-3bcf6ba1d6ad
IndustryData-ReferenceDefinition.Read.All,Application,6ee891c3-74a4-4148-8463-0c834375dfaf
IndustryData-Run.Read.All,Application,f6f5d10b-3024-4d1d-b674-aae4df4a1a73
IndustryData-SourceSystem.Read.All,Application,bc167a60-39fe-4865-8b44-78400fc6ed03
IndustryData-SourceSystem.ReadWrite.All,Application,7d866958-e06e-4dd6-91c6-a086b3f5cfeb
IndustryData-TimePeriod.Read.All,Application,7c55c952-b095-4c23-a522-022bce4cc1e3
IndustryData-TimePeriod.ReadWrite.All,Application,7afa7744-a782-4a32-b8c2-e3db637e8de7
InformationProtectionConfig.Read.All,Application,14f49b9f-4bf2-4d24-b80e-b27ec58409bd
InformationProtectionContent.Sign.All,Application,cbe6c7e4-09aa-4b8d-b3c3-2dbb59af4b54
InformationProtectionContent.Write.All,Application,287bd98c-e865-4e8c-bade-1a85523195b9
InformationProtectionPolicy.Read.All,Application,19da66cb-0fb0-4390-b071-ebc76a349482
LearningAssignedCourse.Read.All,Application,535e6066-2894-49ef-ab33-e2c6d064bb81
LearningAssignedCourse.ReadWrite.All,Application,236c1cbd-1187-427f-b0f5-b1852454973b
LearningContent.Read.All,Application,8740813e-d8aa-4204-860e-2a0f8f84dbc8
LearningContent.ReadWrite.All,Application,444d6fcb-b738-41e5-b103-ac4f2a2628a3
LearningSelfInitiatedCourse.Read.All,Application,467524fc-ed22-4356-a910-af61191e3503
LearningSelfInitiatedCourse.ReadWrite.All,Application,7654ed61-8965-4025-846a-0856ec02b5b0
LicenseAssignment.ReadWrite.All,Application,5facf0c1-8979-4e95-abcf-ff3d079771c0
LifecycleWorkflows.Read.All,Application,7c67316a-232a-4b84-be22-cea2c0906404
LifecycleWorkflows.ReadWrite.All,Application,5c505cf4-8424-4b8e-aa14-ee06e3bb23e3
Mail.Read,Application,810c84a8-4a9e-49e6-bf7d-12d183f40d01
Mail.ReadBasic,Application,6be147d2-ea4f-4b5a-a3fa-3eab6f3c140a
Mail.ReadBasic.All,Application,693c5e45-0940-467d-9b8a-1022fb9d42ef
Mail.ReadWrite,Application,e2a3a72e-5f79-4c64-b1b1-878b674786c9
Mail.Send,Application,b633e1c5-b582-4048-a93e-9f11b44c7e96
MailboxSettings.Read,Application,40f97065-369a-49f4-947c-6a255697ae91
MailboxSettings.ReadWrite,Application,6931bccd-447a-43d1-b442-00a195474933
Member.Read.Hidden,Application,658aa5d8-239f-45c4-aa12-864f4fc7e490
NetworkAccessBranch.Read.All,Application,39ae4a24-1ef0-49e8-9d63-2a66f5c39edd
NetworkAccessBranch.ReadWrite.All,Application,8137102d-ec16-4191-aaf8-7aeda8026183
NetworkAccessPolicy.Read.All,Application,8a3d36bf-cb46-4bcc-bec9-8d92829dab84
NetworkAccessPolicy.ReadWrite.All,Application,f0c341be-8348-4989-8e43-660324294538
Notes.Read.All,Application,3aeca27b-ee3a-4c2b-8ded-80376e2134a4
Notes.ReadWrite.All,Application,0c458cef-11f3-48c2-a568-c66751c238c0
OnlineMeetingArtifact.Read.All,Application,df01ed3b-eb61-4eca-9965-6b3d789751b2
OnlineMeetingRecording.Read.All,Application,a4a08342-c95d-476b-b943-97e100569c8d
OnlineMeetings.Read.All,Application,c1684f21-1984-47fa-9d61-2dc8c296bb70
OnlineMeetings.ReadWrite.All,Application,b8bb2037-6e08-44ac-a4ea-4674e010e2a4
OnlineMeetingTranscript.Read.All,Application,a4a80d8d-d283-4bd8-8504-555ec3870630
OnPremDirectorySynchronization.Read.All,Application,bb70e231-92dc-4729-aff5-697b3f04be95
OnPremDirectorySynchronization.ReadWrite.All,Application,c22a92cc-79bf-4bb1-8b6c-e0a05d3d80ce
OnPremisesPublishingProfiles.ReadWrite.All,Application,0b57845e-aa49-4e6f-8109-ce654fffa618
Organization.Read.All,Application,498476ce-e0fe-48b0-b801-37ba7e2685c6
Organization.ReadWrite.All,Application,292d869f-3427-49a8-9dab-8c70152b74e9
OrgContact.Read.All,Application,e1a88a34-94c4-4418-be12-c87b00e26bea
OrgSettings-AppsAndServices.Read.All,Application,56c84fa9-ea1f-4a15-90f2-90ef41ece2c9
OrgSettings-AppsAndServices.ReadWrite.All,Application,4a8e4191-c1c8-45f8-b801-f9a1a5ee6ad3
OrgSettings-DynamicsVoice.Read.All,Application,c18ae2dc-d9f3-4495-a93f-18980a0e159f
OrgSettings-DynamicsVoice.ReadWrite.All,Application,c3f1cc32-8bbd-4ab6-bd33-f270e0d9e041
OrgSettings-Forms.Read.All,Application,434d7c66-07c6-4b1f-ab21-417cf2cdaaca
OrgSettings-Forms.ReadWrite.All,Application,2cb92fee-97a3-4034-8702-24a6f5d0d1e9
OrgSettings-Todo.Read.All,Application,e4d9cd09-d858-4363-9410-abb96737f0cf
OrgSettings-Todo.ReadWrite.All,Application,5febc9da-e0d0-4576-bd13-ae70b2179a39
People.Read.All,Application,b528084d-ad10-4598-8b93-929746b4d7d6
PeopleSettings.Read.All,Application,ef02f2e7-e22d-4c77-8614-8f765683b86e
PeopleSettings.ReadWrite.All,Application,b6890674-9dd5-4e42-bb15-5af07f541ae1
Place.Read.All,Application,913b9306-0ce1-42b8-9137-6a7df690a760
Policy.Read.All,Application,246dd0d5-5bd0-4def-940b-0421030a5b68
Policy.Read.ConditionalAccess,Application,37730810-e9ba-4e46-b07e-8ca78d182097
Policy.Read.PermissionGrant,Application,9e640839-a198-48fb-8b9a-013fd6f6cbcd
Policy.ReadWrite.AccessReview,Application,77c863fd-06c0-47ce-a7eb-49773e89d319
Policy.ReadWrite.ApplicationConfiguration,Application,be74164b-cff1-491c-8741-e671cb536e13
Policy.ReadWrite.AuthenticationFlows,Application,25f85f3c-f66c-4205-8cd5-de92dd7f0cec
Policy.ReadWrite.AuthenticationMethod,Application,29c18626-4985-4dcd-85c0-193eef327366
Policy.ReadWrite.Authorization,Application,fb221be6-99f2-473f-bd32-01c6a0e9ca3b
Policy.ReadWrite.ConditionalAccess,Application,01c0a623-fc9b-48e9-b794-0756f8e8f067
Policy.ReadWrite.ConsentRequest,Application,999f8c63-0a38-4f1b-91fd-ed1947bdd1a9
Policy.ReadWrite.CrossTenantAccess,Application,338163d7-f101-4c92-94ba-ca46fe52447c
Policy.ReadWrite.ExternalIdentities,Application,03cc4f92-788e-4ede-b93f-199424d144a5
Policy.ReadWrite.FeatureRollout,Application,2044e4f1-e56c-435b-925c-44cd8f6ba89a
Policy.ReadWrite.PermissionGrant,Application,a402ca1c-2696-4531-972d-6e5ee4aa11ea
Policy.ReadWrite.SecurityDefaults,Application,1c6e93a6-28e2-4cbb-9f64-1a46a821124d
Policy.ReadWrite.TrustFramework,Application,79a677f7-b79d-40d0-a36a-3e6f8688dd7a
Presence.ReadWrite.All,Application,83cded22-8297-4ff6-a7fa-e97e9545a259
Printer.Read.All,Application,9709bb33-4549-49d4-8ed9-a8f65e45bb0f
Printer.ReadWrite.All,Application,f5b3f73d-6247-44df-a74c-866173fddab0
PrintJob.Manage.All,Application,58a52f47-9e36-4b17-9ebe-ce4ef7f3e6c8
PrintJob.Read.All,Application,ac6f956c-edea-44e4-bd06-64b1b4b9aec9
PrintJob.ReadBasic.All,Application,fbf67eee-e074-4ef7-b965-ab5ce1c1f689
PrintJob.ReadWrite.All,Application,5114b07b-2898-4de7-a541-53b0004e2e13
PrintJob.ReadWriteBasic.All,Application,57878358-37f4-4d3a-8c20-4816e0d457b1
PrintSettings.Read.All,Application,b5991872-94cf-4652-9765-29535087c6d8
PrintTaskDefinition.ReadWrite.All,Application,456b71a7-0ee0-4588-9842-c123fcc8f664
PrivilegedAccess.Read.AzureAD,Application,4cdc2547-9148-4295-8d11-be0db1391d6b
PrivilegedAccess.Read.AzureADGroup,Application,01e37dc9-c035-40bd-b438-b2879c4870a6
PrivilegedAccess.Read.AzureResources,Application,5df6fe86-1be0-44eb-b916-7bd443a71236
PrivilegedAccess.ReadWrite.AzureAD,Application,854d9ab1-6657-4ec8-be45-823027bcd009
PrivilegedAccess.ReadWrite.AzureADGroup,Application,2f6817f8-7b12-4f0f-bc18-eeaf60705a9e
PrivilegedAccess.ReadWrite.AzureResources,Application,6f9d5abc-2db6-400b-a267-7de22a40fb87
PrivilegedAssignmentSchedule.Read.AzureADGroup,Application,cd4161cb-f098-48f8-a884-1eda9a42434c
PrivilegedAssignmentSchedule.ReadWrite.AzureADGroup,Application,41202f2c-f7ab-45be-b001-85c9728b9d69
PrivilegedEligibilitySchedule.Read.AzureADGroup,Application,edb419d6-7edc-42a3-9345-509bfdf5d87c
PrivilegedEligibilitySchedule.ReadWrite.AzureADGroup,Application,618b6020-bca8-4de6-99f6-ef445fa4d857
ProgramControl.Read.All,Application,eedb7fdd-7539-4345-a38b-4839e4a84cbd
ProgramControl.ReadWrite.All,Application,60a901ed-09f7-4aa5-a16e-7dd3d6f9de36
QnA.Read.All,Application,ee49e170-1dd1-4030-b44c-61ad6e98f743
RecordsManagement.Read.All,Application,ac3a2b8e-03a3-4da9-9ce0-cbe28bf1accd
RecordsManagement.ReadWrite.All,Application,eb158f57-df43-4751-8b21-b8932adb3d34
ReportSettings.Read.All,Application,ee353f83-55ef-4b78-82da-555bfa2b4b95
ReportSettings.ReadWrite.All,Application,2a60023f-3219-47ad-baa4-40e17cd02a1d
Reports.Read.All,Application,230c1aed-a721-4c5d-9cb4-a90514e508ef
ResourceSpecificPermissionGrant.ReadForUser.All,Application,acfca4d5-f49f-40ed-9648-84068b474c73
RoleAssignmentSchedule.Read.Directory,Application,d5fe8ce8-684c-4c83-a52c-46e882ce4be1
RoleAssignmentSchedule.ReadWrite.Directory,Application,dd199f4a-f148-40a4-a2ec-f0069cc799ec
RoleEligibilitySchedule.Read.Directory,Application,ff278e11-4a33-4d0c-83d2-d01dc58929a5
RoleEligibilitySchedule.ReadWrite.Directory,Application,fee28b28-e1f3-4841-818e-2704dc62245f
RoleManagement.Read.All,Application,c7fbd983-d9aa-4fa7-84b8-17382c103bc4
RoleManagement.Read.CloudPC,Application,031a549a-bb80-49b6-8032-2068448c6a3c
RoleManagement.Read.Directory,Application,483bed4a-2ad3-4361-a73b-c83ccdbdc53c
RoleManagement.Read.Exchange,Application,c769435f-f061-4d0b-8ff1-3d39870e5f85
RoleManagement.ReadWrite.CloudPC,Application,274d0592-d1b6-44bd-af1d-26d259bcb43a
RoleManagement.ReadWrite.Directory,Application,9e3f62cf-ca93-4989-b6ce-bf83c28f9fe8
RoleManagement.ReadWrite.Exchange,Application,025d3225-3f02-4882-b4c0-cd5b541a4e80
RoleManagementAlert.Read.Directory,Application,ef31918f-2d50-4755-8943-b8638c0a077e
RoleManagementAlert.ReadWrite.Directory,Application,11059518-d6a6-4851-98ed-509268489c4a
RoleManagementPolicy.Read.AzureADGroup,Application,69e67828-780e-47fd-b28c-7b27d14864e6
RoleManagementPolicy.Read.Directory,Application,fdc4c997-9942-4479-bfcb-75a36d1138df
RoleManagementPolicy.ReadWrite.AzureADGroup,Application,b38dcc4d-a239-4ed6-aa84-6c65b284f97c
RoleManagementPolicy.ReadWrite.Directory,Application,31e08e0a-d3f7-4ca2-ac39-7343fb83e8ad
Schedule.Read.All,Application,7b2ebf90-d836-437f-b90d-7b62722c4456
Schedule.ReadWrite.All,Application,b7760610-0545-4e8a-9ec3-cce9e63db01c
SearchConfiguration.Read.All,Application,ada977a5-b8b1-493b-9a91-66c206d76ecf
SearchConfiguration.ReadWrite.All,Application,0e778b85-fefa-466d-9eec-750569d92122
SecurityActions.Read.All,Application,5e0edab9-c148-49d0-b423-ac253e121825
SecurityActions.ReadWrite.All,Application,f2bf083f-0179-402a-bedb-b2784de8a49b
SecurityAlert.Read.All,Application,472e4a4d-bb4a-4026-98d1-0b0d74cb74a5
SecurityAlert.ReadWrite.All,Application,ed4fca05-be46-441f-9803-1873825f8fdb
SecurityAnalyzedMessage.Read.All,Application,b48f7ac2-044d-4281-b02f-75db744d6f5f
SecurityAnalyzedMessage.ReadWrite.All,Application,04c55753-2244-4c25-87fc-704ab82a4f69
SecurityEvents.Read.All,Application,bf394140-e372-4bf9-a898-299cfc7564e5
SecurityEvents.ReadWrite.All,Application,d903a879-88e0-4c09-b0c9-82f6a1333f84
SecurityIncident.Read.All,Application,45cc0394-e837-488b-a098-1918f48d186c
SecurityIncident.ReadWrite.All,Application,34bf0e97-1971-4929-b999-9e2442d941d7
ServiceHealth.Read.All,Application,79c261e0-fe76-4144-aad5-bdc68fbe4037
ServiceMessage.Read.All,Application,1b620472-6534-4fe6-9df2-4680e8aa28ec
ServicePrincipalEndpoint.Read.All,Application,5256681e-b7f6-40c0-8447-2d9db68797a0
ServicePrincipalEndpoint.ReadWrite.All,Application,89c8469c-83ad-45f7-8ff2-6e3d4285709e
SharePointTenantSettings.Read.All,Application,83d4163d-a2d8-4d3b-9695-4ae3ca98f888
SharePointTenantSettings.ReadWrite.All,Application,19b94e34-907c-4f43-bde9-38b1909ed408
ShortNotes.Read.All,Application,0c7d31ec-31ca-4f58-b6ec-9950b6b0de69
ShortNotes.ReadWrite.All,Application,842c284c-763d-4a97-838d-79787d129bab
Sites.FullControl.All,Application,a82116e5-55eb-4c41-a434-62fe8a61c773
Sites.Manage.All,Application,0c0bf378-bf22-4481-8f81-9e89a9b4960a
Sites.Read.All,Application,332a536c-c7ef-4017-ab91-336970924f0d
Sites.ReadWrite.All,Application,9492366f-7969-46a4-8d15-ed1a20078fff
Sites.Selected,Application,883ea226-0bf2-4a8f-9f9d-92c9162a727d
SubjectRightsRequest.Read.All,Application,ee1460f0-368b-4153-870a-4e1ca7e72c42
SubjectRightsRequest.ReadWrite.All,Application,8387eaa4-1a3c-41f5-b261-f888138e6041
Synchronization.Read.All,Application,5ba43d2f-fa88-4db2-bd1c-a67c5f0fb1ce
Synchronization.ReadWrite.All,Application,9b50c33d-700f-43b1-b2eb-87e89b703581
SynchronizationData-User.Upload,Application,db31e92a-b9ea-4d87-bf6a-75a37a9ca35a
Tasks.Read.All,Application,f10e1f91-74ed-437f-a6fd-d6ae88e26c1f
Tasks.ReadWrite.All,Application,44e666d1-d276-445b-a5fc-8815eeb81d55
Team.Create,Application,23fc2474-f741-46ce-8465-674744c5c361
